File_name,Paper_title,Reference,Citation,aim at Social Communication skills,aim at Emotional Intelligence skills,aim at Language and Speech skills,aim at Cognitive Skills,aim at Social Cognition skills,aim at Physical and Motor Development skills,aim at Self-Management and Adaptive Skills,studying Children with ASD,studying Adolescents with ASD,studying Adults with ASD,studying Children with other neurodevelopmental disabilities,studying Adolescents with other neurodevelopmental disabilities,studying Adults with other neurodevelopmental disabilities,carry out Social Interaction Activities with robots,carry out Storytelling and Play-based Activities with robots,carry out Imitation and Movement Activities with robots,carry out Emotion and Expression Recognition Activities with robots,Music and Rhythm Activities with robots,carry out Executive Function and Cognitive Activities with robots,carry out Communication and Language Activities with robots
Fortiva-47-Miskam-et-al.-2013-Study-on-Social-Interaction-between-Children-with-.pdf.pdf,Study on Social Interaction between Children with Autism and Humanoid Robot NAO,Miskam; M. A.; Hamid; M. A. C.; Yussof; H.; Shamsuddin; S.; Malik; N. A.; & Basir; S. N. (2013). Study on Social Interaction between Children with Autism and Humanoid Robot NAO. Applied Mechanics and Materials; 393; 573-578.,(Miskam et al.; 2013),Yes; the authors aimed at evaluating social communication skills; particularly social interaction; eye contact; and communication skills.,Yes; the authors aimed at evaluating emotional intelligence skills; specifically emotion recognition.,N/A. The study did not explicitly aim at developing or evaluating language and speech skills.,N/A. The study did not explicitly aim at developing or evaluating cognitive skills.,Yes; the authors aimed at evaluating social cognition skills; particularly imitation and joint attention.,N/A. The study did not explicitly aim at developing or evaluating physical and motor development skills.,N/A. The study did not explicitly aim at developing or evaluating self-management and adaptive skills.,Yes; the authors aimed at studying children with autism spectrum disorder (ASD).,N/A. The study focused on children aged 6 to 9 years old; not adolescents.,N/A. The study did not aim at studying adults with ASD.,N/A. The study did not aim at studying children with other neurodevelopmental disabilities.,N/A. The study did not aim at studying adolescents with other neurodevelopmental disabilities.,N/A. The study did not aim at studying adults with other neurodevelopmental disabilities.,Yes; the authors carried out social interaction activities with robots; including interactive scenarios and one-on-one interactions.,Yes; the authors carried out storytelling activities with robots; specifically a story on emotions with gestures.,Yes; the authors carried out imitation and movement activities with robots; including hand-movement dance and imitation exercises.,Yes; the authors carried out emotion and expression recognition activities with robots; including teaching and guessing emotions based on body gestures.,Yes; the authors carried out music and rhythm activities with robots; specifically playing the song 'Twinkle-twinkle Little Star' with hand movements.,N/A. The study did not explicitly carry out executive function and cognitive activities with robots.,Yes; the authors carried out communication and language activities with robots; including two-way communication and question-answering exercises.
Fortiva-48-Moorthy-y-Pugazhenthi-2016-Imitation-based-training-to-enhance-psychomotor-sk.pdf,Imitation Based Training to Enhance Psychomotor Skills in Autistic Children Using a Snatcher Robot,Moorthy; R. S.; & Pugazhenthi; S. (2016). Imitation Based Training to Enhance Psychomotor Skills in Autistic Children Using a Snatcher Robot. SASTRA University.,(Moorthy & Pugazhenthi; 2016),No; the authors did not aim at developing or evaluating Social Communication skills in this study.,No; the authors did not aim at developing or evaluating Emotional Intelligence skills in this study.,No; the authors did not aim at developing or evaluating Language and Speech skills in this study.,Yes; the authors aimed at developing Cognitive Skills; specifically attention and concentration.,Yes; the authors aimed at developing Social Cognition skills; specifically imitation.,Yes; the authors aimed at developing Physical and Motor Development skills; specifically psychomotor skills; grasps; directions; and targeted walking.,No; the authors did not aim at developing or evaluating Self-Management and Adaptive Skills in this study.,Yes; the authors aimed at studying children with autism spectrum disorder (ASD).,No; the authors did not aim at studying adolescents with ASD in this study.,No; the authors did not aim at studying adults with ASD in this study.,No; the authors did not aim at studying children with other neurodevelopmental disabilities (not ASD) in this study.,No; the authors did not aim at studying adolescents with other neurodevelopmental disabilities (not ASD) in this study.,No; the authors did not aim at studying adults with other neurodevelopmental disabilities (not ASD) in this study.,No; the authors did not carry out Social Interaction Activities with robots in this study.,No; the authors did not carry out Storytelling and Play-based Activities with robots in this study.,Yes; the authors carried out Imitation and Movement Activities with robots; specifically imitation games and mimicking movements of the snatcher robot.,No; the authors did not carry out Emotion and Expression Recognition Activities with robots in this study.,No; the authors did not carry out Music and Rhythm Activities with robots in this study.,No; the authors did not carry out Executive Function and Cognitive Activities with robots in this study.,No; the authors did not carry out Communication and Language Activities with robots in this study.
Fortiva-49-Moorthy-y-Pugazhenthi-2016-B-Teaching-Psychomotor-Skills-to-Autistic-Children-b.pdf,Teaching Psychomotor Skills to Autistic Children by Employing a Robotic Training Kit: A Pilot Study,Moorthy; R. S.; & Pugazhenthi; S. (2016). Teaching Psychomotor Skills to Autistic Children by Employing a Robotic Training Kit: A Pilot Study. International Journal of Social Robotics; 9(1); 97-108. https://doi.org/10.1007/s12369-016-0375-6,(Moorthy & Pugazhenthi; 2016),No; the authors did not aim at developing or evaluating social communication skills in this study.,No; the authors did not aim at developing or evaluating emotional intelligence skills in this study.,No; the authors did not aim at developing or evaluating language and speech skills in this study.,No; the authors did not explicitly aim at developing or evaluating cognitive skills in this study.,No; the authors did not aim at developing or evaluating social cognition skills in this study.,Yes; the authors aimed at developing and evaluating physical and motor skills; specifically palmar grasp; hand-eye coordination and knowledge of directions.,No; the authors did not aim at developing or evaluating self-management and adaptive skills in this study.,Yes; the authors aimed at studying children with autism spectrum disorder (ASD).,N/A. The study focused on children with ASD between the ages of 4 to 10 years old; but did not specifically mention adolescents.,No; the authors did not aim at studying adults with ASD in this study.,No; the authors did not aim at studying children with other neurodevelopmental disabilities (not ASD) in this study.,No; the authors did not aim at studying adolescents with other neurodevelopmental disabilities (not ASD) in this study.; ,No; the authors did not aim at studying adults with other neurodevelopmental disabilities (not ASD) in this study.,Yes; the authors carried out one-on-one interactions between the child and the therapist/caregiver using the robotic training kit to improve the targeted psychomotor skills.,No; the authors did not carry out storytelling or play-based activities with robots in this study.,Yes; the authors carried out imitation and movement activities; where the child was guided to move the robotic arm in specific directions by imitating the therapist/caregiver using the joystick.,No; the authors did not carry out emotion and expression recognition activities with robots in this study.,No; the authors did not carry out music and rhythm activities with robots in this study.,No; the authors did not explicitly carry out executive function and cognitive activities with robots in this study.,No; the authors did not carry out communication and language activities with robots in this study.
Fortiva-50-Nanou-et-al.-2022-THE-SAS-STRATEGY-TRAINING-FOR-CHILDREN-WITH-ASD-IN.pdf,THE SAS STRATEGY TRAINING FOR CHILDREN WITH ASD IN INCLUSIVE EDUCATIONAL ROBOTICS ACTIVITIES,Nanou; A.; Tsiomi; E.; Oikonomou; A.; & Karampatzakis; D. (2021). The SAS Strategy Training for Children with ASD in Inclusive Educational Robotics Activities. Education. Innovation. Diversity; 2(3); 34-52. https://doi.org/10.17770/eid2021.2.6723,(Nanou et al.; 2021),Yes; the authors aimed at developing social communication skills; specifically focusing on fostering participation and collaboration of children with ASD in teamwork with peers during educational robotics activities.,N/A. The study did not explicitly aim at developing or evaluating Emotional Intelligence skills.,N/A. The study did not explicitly aim at developing or evaluating Language and Speech skills.,N/A. While the study involved programming activities; it did not explicitly aim at developing or evaluating Cognitive Skills as a primary goal.,N/A. The study did not explicitly aim at developing or evaluating Social Cognition skills.,N/A. The study did not aim at developing or evaluating Physical and Motor Development skills.,N/A. The study did not aim at developing or evaluating Self-Management and Adaptive Skills.,Yes; the study aimed at studying children with autism spectrum disorder (ASD) at Level 2.,N/A. The study focused on children aged 10-11 years old; not specifically adolescents.,N/A. The study did not aim at studying adults with ASD.,N/A. The study did not aim at studying children with other neurodevelopmental disabilities.,N/A. The study did not aim at studying adolescents with other neurodevelopmental disabilities.,N/A. The study did not aim at studying adults with other neurodevelopmental disabilities.,Yes; the study carried out social interaction activities with robots; specifically collaborative scenarios using LEGO Mindstorms robots in inclusive teams.,N/A. The study did not carry out storytelling and play-based activities with robots.,N/A. The study did not carry out imitation and movement activities with robots.,N/A. The study did not carry out emotion and expression recognition activities with robots.,N/A. The study did not carry out music and rhythm activities with robots.,Yes; the study carried out executive function and cognitive activities with robots; specifically programming LEGO Mindstorms robots.,N/A. While the study involved communication within teams; it did not explicitly carry out communication and language activities with robots as described in the question.
Fortiva-51-Nie-et-al.-2018-Predicting-Response-to-Joint-Attention-Performance.pdf,Predicting response to joint attention performance in human-human interaction based on human-robot interaction for young children with autism spectrum disorder,Nie; G.; Zheng; Z.; Johnson; J.; Swanson; A. R.; Weitlauf; A. S.; Warren; Z. E.; & Sarkar; N. (2018). Predicting response to joint attention performance in human-human interaction based on human-robot interaction for young children with autism spectrum disorder. In 2018 27th IEEE International Symposium on Robot and Human Interactive Communication (RO-MAN) (pp. 1-8). IEEE.,(Nie et al.; 2018),Yes; the authors aimed at developing and evaluating social communication skills; specifically response to joint attention (RJA).,N/A. The study does not mention developing or evaluating emotional intelligence skills.,N/A. The study does not mention developing or evaluating language and speech skills.,N/A. While the study involves attention in the context of joint attention; it does not explicitly aim to develop or evaluate cognitive skills.,Yes; the authors aimed at developing and evaluating social cognition skills; specifically joint attention.,N/A. The study does not mention developing or evaluating physical and motor development skills.,N/A. The study does not mention developing or evaluating self-management and adaptive skills.,Yes; the study aimed at studying young children with autism spectrum disorder (ASD).,N/A. The study focused on young children; not adolescents with ASD.,N/A. The study focused on young children; not adults with ASD.,N/A. The study focused on children with ASD; not other neurodevelopmental disabilities.,N/A. The study did not aim at studying adolescents with other neurodevelopmental disabilities.,N/A. The study did not aim at studying adults with other neurodevelopmental disabilities.,Yes; the authors carried out social interaction activities with robots; specifically one-on-one interactions focused on joint attention tasks.,N/A. The study did not involve storytelling or play-based activities with robots.,N/A. The study did not involve imitation and movement activities with robots.,N/A. The study did not involve emotion and expression recognition activities with robots.,N/A. The study did not involve music and rhythm activities with robots.,N/A. While the study involved attention; it did not explicitly carry out executive function and cognitive activities with robots.,Yes; the authors carried out communication and language activities with robots; specifically joint attention tasks.
Fortiva-52-Palestra-et-al.-2017-Assistive-Robot-RGB-D-Sensor-and-Graphical-User-I.pdf.pdf,Applications of Robotics for Autism Spectrum Disorder: a Scoping Review,Santos; L.; Annunziata; S.; Geminiani; A.; Ivani; A.; Giubergia; A.; Garofalo; D.; Caglio; A.; Brazzoli; E.; Lipari; R.; Carrozza; M. C.; Ambrosini; E.; Olivieri; I.; & Pedrocchi; A. (2023). Applications of Robotics for Autism Spectrum Disorder: a Scoping Review. Review Journal of Autism and Developmental Disorders.,(Santos et al.; 2023),Yes; the authors aimed at evaluating social communication skills. The review includes studies focused on improving social skills; enhancing social engagement; interaction; and communication in individuals with ASD.,Yes; the authors aimed at evaluating emotional intelligence skills. The review includes studies on emotion recognition and socio-emotional understanding in individuals with ASD.,Yes; the authors aimed at evaluating language and speech skills. The review mentions studies focused on improving communicative skills and gestural skills training for individuals with ASD.,Yes; the authors aimed at evaluating cognitive skills. The review includes studies on attention training and joint attention for individuals with ASD.,Yes; the authors aimed at evaluating social cognition skills. The review includes studies on joint attention; imitation; gesture recognition; and facial expression recognition for individuals with ASD.,Yes; the authors aimed at evaluating physical and motor development skills. The review mentions studies on motor skills training and imitation training for individuals with ASD.,N/A. The paper does not explicitly mention studies aimed at developing or evaluating self-management and adaptive skills.,Yes; the authors aimed at studying children with autism spectrum disorder (ASD). The review focuses primarily on studies involving children with ASD.,Yes; the authors aimed at studying adolescents with ASD. The review mentions some studies involving adolescents with ASD; although less frequently than children.,N/A. The paper does not explicitly mention studies aimed at adults with ASD. The focus appears to be primarily on children and adolescents.,N/A. The paper focuses specifically on autism spectrum disorder and does not mention studies on children with other neurodevelopmental disabilities.,N/A. The paper focuses specifically on autism spectrum disorder and does not mention studies on adolescents with other neurodevelopmental disabilities.,N/A. The paper focuses specifically on autism spectrum disorder and does not mention studies on adults with other neurodevelopmental disabilities.,Yes; the authors discuss studies that carried out social interaction activities with robots; including interactive scenarios and one-on-one interactions to improve social skills in individuals with ASD.,Yes; the authors mention studies that used storytelling and play-based activities with robots; including emotional storytelling games and symbolic play activities for individuals with ASD.,Yes; the authors discuss studies that used imitation and movement activities with robots; including imitation games and mimicking movements for individuals with ASD.,Yes; the authors mention studies that used emotion and expression recognition activities with robots; including facial expression recognition exercises and emotional gesture recognition tasks for individuals with ASD.,Yes; the authors mention studies that used music and rhythm activities with robots; including music-based interventions for individuals with ASD.,Yes; the authors discuss studies that used executive function and cognitive activities with robots; including joint attention tasks and programming robots for individuals with ASD.,Yes; the authors mention studies that used communication and language activities with robots; including joint attention tasks and gestural skills training for individuals with ASD.
Fortiva-53-Papadopoulou-et-al.-2022-Efficacy-of-a-Robot-Assisted-Intervention-in-Impro.pdf.pdf,Efficacy of a Robot-Assisted Intervention in Improving Learning Performance of Elementary School Children with Specific Learning Disorders,Papadopoulou; M. T.; Karageorgiou; E.; Kechayas; P.; Geronikola; N.; Lytridis; C.; Bazinas; C.; Kourampa; E.; Avramidou; E.; Kaburlasos; V. G.; & Evangeliou; A. E. (2022). Efficacy of a Robot-Assisted Intervention in Improving Learning Performance of Elementary School Children with Specific Learning Disorders. Children; 9(8); 1155. https://doi.org/10.3390/children9081155,(Papadopoulou et al.; 2022),N/A - The study did not aim at developing or evaluating Social Communication skills. The focus was on improving learning performance in children with Specific Learning Disorders.,N/A - The study did not aim at developing or evaluating Emotional Intelligence skills. The focus was on improving learning performance in children with Specific Learning Disorders.,Yes; the study aimed at developing Language and Speech skills; specifically reading decoding; phonological awareness; and reading comprehension.,Yes; the study aimed at developing Cognitive Skills; particularly reading and writing abilities.,N/A - The study did not aim at developing or evaluating Social Cognition skills. The focus was on improving learning performance in children with Specific Learning Disorders.,N/A - The study did not aim at developing or evaluating Physical and Motor Development skills. The focus was on improving learning performance in children with Specific Learning Disorders.,N/A - The study did not aim at developing or evaluating Self-Management and Adaptive Skills. The focus was on improving learning performance in children with Specific Learning Disorders.,N/A - The study did not aim at studying Children with autism spectrum disorder (ASD). It focused on children with Specific Learning Disorders.,N/A - The study did not aim at studying Adolescents with ASD. It focused on children with Specific Learning Disorders.,N/A - The study did not aim at studying Adults with ASD. It focused on children with Specific Learning Disorders.,Yes; the study aimed at studying Children with other neurodevelopmental disabilities; specifically Specific Learning Disorders.,N/A - The study did not aim at studying Adolescents with other neurodevelopmental disabilities. It focused on children in the third and fourth years of elementary school.,N/A - The study did not aim at studying Adults with other neurodevelopmental disabilities. It focused on children in the third and fourth years of elementary school.,N/A - The study did not carry out Social Interaction Activities with robots. The robot was used as a tutor to deliver educational content.,N/A - The study did not carry out Storytelling and Play-based Activities with robots. The intervention focused on educational activities for improving reading and writing skills.,N/A - The study did not carry out Imitation and Movement Activities with robots. The intervention focused on educational activities for improving reading and writing skills.,N/A - The study did not carry out Emotion and Expression Recognition Activities with robots. The intervention focused on educational activities for improving reading and writing skills.,N/A - The study did not carry out Music and Rhythm Activities with robots. The intervention focused on educational activities for improving reading and writing skills.,Yes; the study carried out Executive Function and Cognitive Activities with robots; specifically focusing on reading decoding; phonological awareness; and reading comprehension exercises.,Yes; the study carried out Communication and Language Activities with robots; including phonological awareness activities; reading comprehension tasks; and other language-related exercises.
Fortiva-54-Park-y-Kwon-2016-I-CAN-TEACH-THEM-THE-ABILITY-OF-ROBOT-INSTRUCTORS.pdf.pdf,I CAN TEACH THEM: THE ABILITY OF ROBOT INSTRUCTORS TO COGNITIVE DISABLED CHILDREN,Park; E.; & Kwon; S. J. (2016). I CAN TEACH THEM: THE ABILITY OF ROBOT INSTRUCTORS TO COGNITIVE DISABLED CHILDREN. Journal of Psychology and Educational Research; 24(1); 101-114.,(Park & Kwon; 2016),N/A - The study did not aim at developing or evaluating social communication skills.,N/A - The study did not aim at developing or evaluating emotional intelligence skills.,N/A - The study did not aim at developing or evaluating language and speech skills.,N/A - While the study involved cognitive disabled children; it did not specifically aim at developing or evaluating cognitive skills.,N/A - The study did not aim at developing or evaluating social cognition skills.,N/A - The study did not aim at developing or evaluating physical and motor development skills.,Yes; the study aimed at developing self-management and adaptive skills; specifically house cleaning skills.,N/A - The study did not aim at studying children with autism spectrum disorder.,N/A - The study did not aim at studying adolescents with autism spectrum disorder.,N/A - The study did not aim at studying adults with autism spectrum disorder.,Yes; the study aimed at studying children with cognitive disabilities.,Yes; the study included adolescents with cognitive disabilities (age range 10-18).,N/A - The study did not include adults with neurodevelopmental disabilities.,N/A - The study did not carry out social interaction activities with robots.,N/A - The study did not carry out storytelling and play-based activities with robots.,Yes; the study carried out imitation activities with robots. The robot showed examples of house cleaning steps using motions and gestures; which the students then imitated.,N/A - The study did not carry out emotion and expression recognition activities with robots.,N/A - The study did not carry out music and rhythm activities with robots.,N/A - The study did not carry out executive function and cognitive activities with robots.,N/A - The study did not carry out communication and language activities with robots.
Fortiva-55-Peng-et-al.-2018-Music-Play-Using-a-Vibraphone-with-a-Humanoid-Robo.pdf,Music Play Using a Vibraphone with a Humanoid Robot as Interaction Training for Autistic Children,Peng; Y. H.; Wang; M. L.; Mayer; N. M.; Peng; Y. F.; & Kossewska; J. (2018). Music Play Using a Vibraphone with a Humanoid Robot as Interaction Training for Autistic Children. Advances in Science; Technology and Engineering Systems Journal; 8(1); 1582.,(Peng et al.; 2018),Yes; the authors aimed at developing social communication skills such as social interaction and turn-taking.,N/A. The study does not explicitly mention developing or evaluating emotional intelligence skills.,N/A. The study does not explicitly mention developing or evaluating language and speech skills.,N/A. The study does not explicitly mention developing or evaluating cognitive skills.,Yes; the authors aimed at developing social cognition skills; specifically imitation.,N/A. The study does not explicitly mention developing or evaluating physical and motor development skills.,N/A. The study does not explicitly mention developing or evaluating self-management and adaptive skills.,Yes; the study aimed at studying children with autism spectrum disorder.,N/A. The study focused on children and did not mention adolescents with ASD.,N/A. The study focused on children and did not mention adults with ASD.,N/A. The study focused on children with ASD and did not mention other neurodevelopmental disabilities.,N/A. The study focused on children with ASD and did not mention adolescents with other neurodevelopmental disabilities.,N/A. The study focused on children with ASD and did not mention adults with other neurodevelopmental disabilities.,Yes; the authors carried out social interaction activities with robots; specifically one-on-one interactions between the robot and the autistic child.,N/A. The study did not mention storytelling or play-based activities.,Yes; the authors carried out imitation activities with robots; as the child was expected to imitate the robot's actions in playing the instrument.,N/A. The study did not mention emotion and expression recognition activities.,Yes; the authors carried out music activities with robots; specifically using a vibraphone and xylophone for musical interaction.,N/A. The study did not mention executive function and cognitive activities.,N/A. The study did not explicitly mention communication and language activities.
Fortiva-56-Pennington-et-al.-2014-Using-Robot-Assisted-Instruction-to-Teach-Students.pdf,Using Robot-Assisted Instruction to Teach Students with Intellectual Disabilities to Use Personal Narrative in Text Messages,Pennington; R.; Saadatzi; M. N.; Welch; K. C.; & Scott; R. (2014). Using robot-assisted instruction to teach students with intellectual disabilities to use personal narrative in text messages. Focus on Autism and Other Developmental Disabilities; 29(3); 195-207.,(Pennington et al.; 2014),Yes; the authors aimed at developing social communication skills; specifically teaching students to compose text messages with appropriate components.,N/A - The study did not focus on developing or evaluating emotional intelligence skills.,Yes; the authors aimed at developing language skills; specifically written expression in the form of text messaging.,N/A - The study did not explicitly focus on developing or evaluating cognitive skills.,N/A - The study did not focus on developing or evaluating social cognition skills.,N/A - The study did not focus on developing or evaluating physical and motor development skills.,N/A - The study did not focus on developing or evaluating self-management and adaptive skills.,No; the study did not aim at studying children with autism spectrum disorder.,No; the study did not aim at studying adolescents with autism spectrum disorder.,No; the study did not aim at studying adults with autism spectrum disorder.,No; the study did not aim at studying children with other neurodevelopmental disabilities.,No; the study did not aim at studying adolescents with other neurodevelopmental disabilities.,Yes; the study aimed at studying adults with intellectual disabilities; aged 19-21 years.,N/A - The study did not use social interaction activities with robots to improve skills.,N/A - The study did not use storytelling and play-based activities with robots.,N/A - The study did not use imitation and movement activities with robots.,N/A - The study did not use emotion and expression recognition activities with robots.,N/A - The study did not use music and rhythm activities with robots.,N/A - The study did not use executive function and cognitive activities with robots.,Yes; the study used communication and language activities with robots. The robot provided instructions and prompts to teach participants to compose text messages with specific components.
Fortiva-57-Pistoia-et-al.-2017-ASTRO-Autism-Support-Therapy-by-RObot-Interaction.pdf,ASTRO: Autism Support Therapy by RObot Interaction,Pistoia; M.; Pistoia; M.; & Casacci; P. (2017). ASTRO: Autism Support Therapy by RObot Interaction.,(Pistoia et al.; 2017),Yes; the study aimed at developing social communication skills through robot interaction for children with autism.,N/A. The paper does not explicitly mention developing or evaluating emotional intelligence skills.,N/A. The paper does not specifically mention developing or evaluating language and speech skills.,Yes; the study aimed at developing cognitive skills through the administration of multimedia exercises via the OMNIACARE platform.,Yes; the study aimed at developing social cognition skills; particularly in stimulating attention and improving parent-child interaction.,N/A. The paper does not explicitly mention developing or evaluating physical and motor development skills.,N/A. The paper does not specifically mention developing or evaluating self-management and adaptive skills.,Yes; the study aimed at studying children with autism spectrum disorder.,N/A. The paper focuses on pre-school and school-aged children; not specifically mentioning adolescents.,N/A. The study does not mention aiming at studying adults with ASD.,N/A. The study focuses specifically on children with autism spectrum disorder; not other neurodevelopmental disabilities.,N/A. The study does not mention aiming at studying adolescents with other neurodevelopmental disabilities.,N/A. The study does not mention aiming at studying adults with other neurodevelopmental disabilities.,Yes; the study carried out social interaction activities with robots; using the NAO robot to facilitate interaction between children with autism and their parents.,N/A. The paper does not explicitly mention storytelling and play-based activities with robots.,Yes; the study included imitation and movement activities; as it mentions the robot singing and dancing with the children.,N/A. The paper does not explicitly mention emotion and expression recognition activities with robots.,Yes; the study included music and rhythm activities; as it mentions the robot singing with the children.,N/A. The paper does not explicitly mention executive function and cognitive activities with robots as described in the question.,Yes; the study carried out communication and language activities with robots; using the NAO robot to stimulate interaction and communication between children with autism and their parents.
Fortiva-58-Pliasa-y-Fachantidis-2021-Mobile-Technologies-Serious-Games-for-the-Developm.pdf,Mobile Technologies Serious Games for the Development of Social Skills in Children with Autism Spectrum Disorders; in Enhanced with Socially Assistive Robots Interventions,Pliasa; S.; & Fachantidis; N. (2021). Mobile Technologies Serious Games for the Development of Social Skills in Children with Autism Spectrum Disorders; in Enhanced with Socially Assistive Robots Interventions. In Unknown Conference Proceedings.,(Pliasa & Fachantidis; 2021),Yes; the authors aimed at developing and evaluating social communication skills such as social interaction; turn-taking; and responding to social cues.,N/A. The study does not explicitly mention developing or evaluating emotional intelligence skills.,N/A. The study does not focus on developing or evaluating language and speech skills.,N/A. The study does not specifically aim at developing or evaluating cognitive skills.,Yes; the authors aimed at developing and evaluating social cognition skills; particularly in the context of social interactions and game-playing.,N/A. The study does not focus on developing or evaluating physical and motor development skills.,N/A. The study does not aim at developing or evaluating self-management and adaptive skills.,Yes; the study aimed at studying children with autism spectrum disorder (ASD).,N/A. The study focused on children aged 6-9 years old; not adolescents.,N/A. The study did not include adults with ASD.,N/A. The study did not include children with other neurodevelopmental disabilities.,N/A. The study did not include adolescents with other neurodevelopmental disabilities.,N/A. The study did not include adults with other neurodevelopmental disabilities.,Yes; the authors carried out social interaction activities with robots; specifically using the Daisy robot to facilitate interactions between children with ASD and their typically developing peers.,N/A. The study did not explicitly mention storytelling and play-based activities with robots.,N/A. The study did not focus on imitation and movement activities with robots.,N/A. The study did not specifically focus on emotion and expression recognition activities with robots.,N/A. The study did not include music and rhythm activities with robots.,N/A. The study did not focus on executive function and cognitive activities with robots.,Yes; the study included communication and language activities with robots; as the Daisy robot was used to facilitate verbal communication and social interactions between children with ASD and their peers.
Fortiva-59-Puyon-y-Giannopulu-2013-Emergent-emotional-and-verbal-strategies-in-autism.pdf,Emergent Emotional and Verbal Strategies in Autism are Based on Multimodal Interactions with Toy Robots in Free Spontaneous Game Play,Puyon; M.; & Giannopulu; I. (2013). Emergent Emotional and Verbal Strategies in Autism are Based on Multimodal Interactions with Toy Robots in Free Spontaneous Game Play. IEEE.,(Puyon & Giannopulu; 2013),Yes; the authors aimed at evaluating social communication skills such as eye contact and social interaction.,Yes; the authors aimed at evaluating emotional intelligence skills; specifically emotional expression.,Yes; the authors aimed at evaluating language skills; particularly expressive language abilities.,Yes; the authors aimed at evaluating cognitive skills; specifically attention and manipulation.,N/A. The study did not explicitly aim to develop or evaluate social cognition skills as defined in the question.,Yes; the authors aimed at evaluating physical and motor development skills; specifically posture and manipulation.,N/A. The study did not aim to develop or evaluate self-management and adaptive skills as defined in the question.,Yes; the authors aimed at studying children with autism spectrum disorder (ASD).,N/A. The study focused on children aged 7-8 years old; not adolescents.,N/A. The study did not aim at studying adults with ASD.,N/A. The study focused specifically on children with ASD; not other neurodevelopmental disabilities.,N/A. The study did not aim at studying adolescents with other neurodevelopmental disabilities.,N/A. The study did not aim at studying adults with other neurodevelopmental disabilities.,Yes; the authors carried out social interaction activities with robots; specifically free spontaneous game play scenarios.,N/A. The study did not explicitly mention storytelling or play-based activities as defined in the question.,N/A. The study did not explicitly mention imitation and movement activities as defined in the question.,N/A. The study did not explicitly mention emotion and expression recognition activities as defined in the question.,N/A. The study did not mention music and rhythm activities.,N/A. The study did not explicitly mention executive function and cognitive activities as defined in the question.,N/A. While the study examined language expression; it did not explicitly mention structured communication and language activities as defined in the question.
Fortiva-60-Perez-Vazquez-et-al.-2022-Bee-bot-robot-in-the-use-of-executive-functions-in.pdf,Bee-bot robot in the use of executive functions in students with ASD: a pilot study,Pérez-Vázquez; E.; Lorenzo Lledó; G.; & Gilabert Cerdá; A. (2022). Bee-bot robot in the use of executive functions in students with ASD: a pilot study.,(Pérez-Vázquez et al.; 2022),No; the authors did not aim at developing or evaluating Social Communication skills.,No; the authors did not aim at developing or evaluating Emotional Intelligence skills.,No; the authors did not aim at developing or evaluating Language and Speech skills.,Yes; the authors aimed at developing and evaluating Cognitive Skills; specifically executive functions including planning; cognitive flexibility; working memory; and inhibitory control.,No; the authors did not aim at developing or evaluating Social Cognition skills.,No; the authors did not aim at developing or evaluating Physical and Motor Development skills.,No; the authors did not aim at developing or evaluating Self-Management and Adaptive Skills.,Yes; the study aimed at studying a child with autism spectrum disorder (ASD).,No; the study did not aim at studying adolescents with ASD.,No; the study did not aim at studying adults with ASD.,No; the study did not aim at studying children with other neurodevelopmental disabilities.,No; the study did not aim at studying adolescents with other neurodevelopmental disabilities.,No; the study did not aim at studying adults with other neurodevelopmental disabilities.,No; the authors did not carry out Social Interaction Activities with robots.,No; the authors did not carry out Storytelling and Play-based Activities with robots.,No; the authors did not carry out Imitation and Movement Activities with robots.,No; the authors did not carry out Emotion and Expression Recognition Activities with robots.,No; the authors did not carry out Music and Rhythm Activities with robots.,Yes; the authors carried out Executive Function and Cognitive Activities with robots; specifically using the Bee-Bot robot to work on planning; cognitive flexibility; working memory; and inhibitory control.,No; the authors did not carry out Communication and Language Activities with robots.
